# 1 ) SHOUTCAST [_m_ddc_bytes] ma.28291.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 )
1521849600,( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 )
1521936000,( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 )
1522022400,( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 )
1522108800,( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 )
# 2 ) SHOUTCAST [_m_ddc_bytes] ma.28298.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 )
1521849600,( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 )
1521936000,( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 )
1522022400,( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 ),( 8466596 = -35 = 0.00 )
1522108800,( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 ),( 7858519 = -7 = 0.00 )
# 3 ) SHOUTCAST [_m_ddc_bytes] ma.28297.135 sum(_m_ddc_bytes)
adb416.central.dna.akamai.com,adb466.central.dna.akamai.com,adb416.east.dna.akamai.com,adb466.east.dna.akamai.com
1521763200,( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 ),( 9367922 = 0 = 0.00 )
1521849600,( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 ),( 12540763 = 33 = 0.00 )
1521936000,( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 ),( 13145194 = 4 = 0.00 )
